UNIVERSITY,COUNTRY,CITATIONS
Vitebsk State Academy of Veterinary Medicine,Belarus,5498
Metropolitan State University,United States of America,5495
Open University of Hong Kong,Hong Kong,5488
Università degli Studi Guglielmo Marconi,Italy,5487
Universidade Católica de Santos UNISANTOS,Brazil,5478
Escola Superior de Enfermagem de Coimbra,Portugal,5476
Petroleum University of Technology Abadan,Iran,5471
Universidad San Sebastián Chile,Chile,5469
Manipal University Jaipur,India,5463
Royal Military Academy of Brussels,Belgium,5462
Academy of Physical Education in Cracow,Poland,5455
Brooklyn Law School,United States of America,5447
Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Pakistan,5439
Kinjo Gakuin University,Japan,5427
Abilene Christian University,United States of America,5425
Walailak University,Thailand,5424
Universidade do Estado do Amazonas UEA,Brazil,5422
Dayananda Sagar College of Engineering,India,5421
Dharmsinh Desai University (D D Institute of Technology),India,5421
Istanbul Commerce University,Turkey,5418
(1) Fontys University of Applied Sciences,Netherlands,5410
Nelson Mandela African Institute of Science & Technology,Tanzania,5406
Bauman Moscow State Technical University,Russia,5405
University of Swaziland,Swaziland,5405
Mbarara University of Science and Technology,Uganda,5398
Al Khawarizmi Institute of Computer Science,Pakistan,5394
Universidad Pontificia de Salamanca,Spain,5392
National Institute of Pharmaceutical Education and Research Ahmedabad,India,5392
Islamic University Kushtia,Bangladesh,5388
Jacksonville State University,United States of America,5379
Dnipropetrovsk National University of Railway Transport Academician V Lazaryan,Ukraine,5375
University Aurel Vlaicu Arad,Romania,5369
Virudhunagar Hindu Nadars Senthikumara Nadar College,India,5367
All India Institute of Medical Sciences Patna,India,5366
Prefectural University of Hiroshima,Japan,5365
Universidade Brasil,Brazil,5364
International Hellenic University,Greece,5360
Stephen F Austin State University,United States of America,5357
(1) Belarusian State University of Transport,Belarus,5354
Universitas Tarumanagara UNTAR,Indonesia,5352
Gomal University Dera Ismail Khan,Pakistan,5350
Ho Chi Minh City University of Science (Natural Sciences),Viet Nam,5350
Kyoto Pharmaceutical University,Japan,5348
Universitas Islam Negeri UIN Maulana Malik Ibrahim Malang,Indonesia,5341
Wittenberg University,United States of America,5340
Universität Vechta Niedersachen,Germany,5339
Sikkim Manipal University of Health Medical & Technological Sciences,India,5339
Islamic Azad University Mashhad,Iran,5339
Samara State Technical University,Russia,5329
Galway Mayo Institute of Technology GMIT,Ireland,5324
South Eastern Kenya University,Kenya,5321
University of Zululand,South Africa,5316
Universitas Sam Ratulangi,Indonesia,5313
Edward Via College of Osteopathic Medicine,United States of America,5312
Universidad Juárez del Estado de Durango,Mexico,5310
Instituto Federal de Educação Ciência e Tecnologia do Rio de Janeiro IFRJ,Brazil,5307
University of Life Sciences in Lublin (Agricultural University),Poland,5306
Sendai National College of Technology,Japan,5301
Avinashilingam University for Women,India,5296
Urmia University of Technology,Iran,5288
Heritage Institute of Technology,India,5287
University of the State Fiscal Service of Ukraine,Ukraine,5283
Harrisburg University of Science & Technology,United States of America,5280
Soka University of America,United States of America,5280
Sumy National Agrarian University,Ukraine,5270
Universidade Regional do Cariri URCA,Brazil,5262
Konyang University,South Korea,5262
(1) Western Connecticut State University,United States of America,5257
Australian College of Kuwait,Kuwait,5250
Damghan University,Iran,5242
California Lutheran University,United States of America,5238
Meisei University,Japan,5231
Instituto Politécnico de Guarda,Portugal,5227
Al Ahliyya Amman University,Jordan,5224
Shiga University,Japan,5220
Odessa National Academy of Food Technologies,Ukraine,5213
Centro Universitário do Maranhão UNICEUMA,Brazil,5209
Polytechnique Hauts-de-France (Université de Valenciennes),France,5207
Universitas Sanata Dharma USD Sleman,Indonesia,5204
Instituto Tecnológico de Durango,Mexico,5200
Kakatiya University,India,5195
Rajasthan Technical University,India,5195
Universidade FUMEC,Brazil,5194
Grande École d'Ingénieurs en Informatique et en Electronique a Angers,France,5190
National Mining University of Ukraine,Ukraine,5188
Mapua Institute of Technology,Philippines,5187
Université Ibn Tofail Kénitra,Morocco,5185
United International University,Bangladesh,5179
Madras School of Economics,India,5173
National Louis University,United States of America,5173
Iğdır University,Turkey,5170
Lillehammer College,Norway,5165
University of Bielsko-Biala,Poland,5165
Indian Institute of Management Kozhikode,India,5155
(1) Tamil Nadu Veterinary and Animal Sciences University,India,5150
Universidade Atlântica,Portugal,5144
National School of Political Studies and Public Administration,Romania,5142
(3) Loyola Law School Los Angeles,United States of America,5141
Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt,Germany,5138
(1) Qilu University of Technology,China,5137
"Lithuanian University of Health Science (Kaunas University of Medicine, Veterinary Academy)",Lithuania,5134
University of Food Technologies Plovdiv,Bulgaria,5133
Hólar University College,Iceland,5133
Sri Sathya Sai Institute of Higher Learning,India,5132
Universidade Católica de Salvador UCSal,Brazil,5129
China Medical University,China,5129
Kogakuin University,Japan,5126
National University of Mongolia,Mongolia,5125
Karpagam Academy of Higher Education,India,5124
Instituto Federal de Educação Ciência e Tecnologia de São Paulo IFSP,Brazil,5121
Centro Universitário UNIVATES,Brazil,5119
Osaka Electro-Communication University,Japan,5117
Centro Federal de Educacão Tecnológica de Minas Gerais CEFET-MG,Brazil,5112
McDaniel College,United States of America,5112
Missouri Western State University,United States of America,5112
Fachhochschule Potsdam,Germany,5111
Sarajevo School of Science & Technology,Bosnia and Herzegovina,5110
Dakota State University,United States of America,5098
Yasuj University of Medical Sciences,Iran,5093
(4) Northcentral University,United States of America,5092
Instituto Federal de Educação Ciência e Tecnologia do Rio Grande do Sul IFRS,Brazil,5086
Universidad Peruana de Ciencias Aplicadas,Peru,5086
Philadelphia University,United States of America,5082
Pôle Universitaire Léonard de Vinci,France,5074
Al Hussein bin Talal University,Jordan,5072
Utica College,United States of America,5070
Saint Joseph University Connecticut,United States of America,5057
Universidad Autónoma de Chiapas,Mexico,5054
Institute for Development & Research in Banking Technology,India,5052
(3) Université de Tunis Ecole Supérieure des Sciences et Techniques de Tunis,Tunisia,5051
Université Amar Telidji de Laghouat,Algeria,5048
Federal University Ndufu Alike Ikwo FUNAI,Nigeria,5045
Universidad Católica del Maule,Chile,5043
Siksha O Anusandhan University,India,5043
Islamia College Peshawar,Pakistan,5042
Universidad Alberto Hurtado,Chile,5035
Kerala Agricultural University,India,5027
Islamic Azad University Qazvin,Iran,5027
University of Banja Luka,Bosnia and Herzegovina,5025
Centro Federal de Educação Tecnológica Celso Suckow do Fonseca CEFET,Brazil,5021
Marwadi Foundation,India,5020
Universitas Negeri Makassar,Indonesia,5003
Agri Mountain University,Turkey,5001
National Institute for Research & Development in Informatics,Romania,4997
Gyeongnam National University of Science & Technology (Jinju National University),South Korea,4996
Glyndŵr University,United Kingdom,4994
Universidade Estadual de Mato Grosso do Sul,Brazil,4968
Hong Kong Shue Yan University,Hong Kong,4968
Hochschule Pforzheim,Germany,4965
Universitas Pattimura,Indonesia,4964
Applied Science University,Jordan,4961
Dr D Y Patil University,India,4960
University Oil Gas Ploiesti,Romania,4959
Bandırma Onyedi Eylül Üniversitesi,Turkey,4956
Vivekananda Global University,India,4944
Milwaukee School of Engineering,United States of America,4933
National Institute of Technical Teachers' Training and Research Chandigarh,India,4929
Vitebsk State University P M Masherov,Belarus,4926
Universidade São Judas Tadeu,Brazil,4925
Liberty University,United States of America,4925
Universidade do Estado do Rio Grande do Norte UERN,Brazil,4922
Kharkiv Medical Academy of Postgraduate Education,Ukraine,4922
Red de Universidades Anáhuac,Mexico,4916
Universidad Nacional de Asunción,Paraguay,4907
Universidade Estadual de Goiás UEG,Brazil,4902
Chandigarh College of Engineering and Technology,India,4902
University of Texas Permian Basin,United States of America,4890
L N M Institute of Information Technology Jaipur,India,4886
Academy of Physical Education in Katowice,Poland,4886
National University of Science & Technology,Zimbabwe,4886
Somaiya Vidyavihar,India,4884
Leningrad State University A S Pushkin,Russia,4880
B S Abdur Rahman Crescent Institute of Science and Technology,India,4879
Handong Global University,South Korea,4879
Rhode Island School of Design,United States of America,4876
German University of Technology in Oman,Oman,4872
University of Arkansas Fort Smith,United States of America,4870
Federal University Oye Ekiti Ekiti State,Nigeria,4868
Mercy College New York,United States of America,4868
University of San Agustin,Philippines,4855
Indian Statistical Institute Bangalore,India,4854
Uman State Agrarian University,Ukraine,4852
Islamic University of Al Madinah,Saudi Arabia,4844
University of North Alabama,United States of America,4844
Canadian International College,Egypt,4839
Uka Tarsadia University Bardoli,India,4839
Kwik Kian Gie School of Business (Institute Business and Informatics of Indonesia),Indonesia,4838
Dr Babasaheb Ambedkar Marathwada University Aurangabad,India,4837
Islamic Azad University Ahvaz,Iran,4837
Universidade de Santo Amaro UNISA,Brazil,4831
Northeast Forestry University,China,4828
Bohai University,China,4824
Ostbayerische Technische Hochschule Regensburg,Germany,4816
(3) Université de Gabès École Nationale d'Ingénieur de Gabès,Tunisia,4816
Artvin Çoruh University,Turkey,4815
Assumption College,United States of America,4813
Rockhurst University,United States of America,4812
International Training Institute for Materials Science,Viet Nam,4809
(1) Luoyang Normal University,China,4808
Instituto Nacional de Ciencias Agrícolas,Cuba,4805
Saint Peters University,United States of America,4803
Université de Bordeaux III,France,4797
Gomel State Technical University P O Sukhoi,Belarus,4796
Angelo State University,United States of America,4796
Universitas Pamulang,Indonesia,4794
Saint Petersburg State University of Economics,Russia,4792
Lewis & Clark State College,United States of America,4789
Chia Nan University of Pharmacy & Science,Taiwan,4779
Universitas Halu Oleo Kendari,Indonesia,4773
Ukrainian State University of Chemical Engineering,Ukraine,4772
Health Sciences University of Mongolia,Mongolia,4770
Whitworth University,United States of America,4763
Institut des Hautes Études scientifiques IHES (comUE Université Paris Saclay),France,4762
Hanoi Medical University,Viet Nam,4759
Kharkiv University of Air Forces Ivan Kozhedub,Ukraine,4758
(3) Anna University Madras Institute of Technology,India,4755
Dalian Polytechnic University,China,4738
Universidad Nacional de Ingeniería Lima,Peru,4735
Saint Thomas University,Canada,4734
Siirt University,Turkey,4734
Superior University Lahore,Pakistan,4733
Kharkiv National University VN Karazin,Ukraine,4733
Lynchburg College,United States of America,4731
Kentucky State University,United States of America,4729
National College of Ireland NCI,Ireland,4728
Universidade Federal Rural da Amazônia,Brazil,4727
Chongqing Technology & Business University,China,4727
Hochschule Emden Leer,Germany,4721
